# Gigage-Alsdulo-ale-Na-Galgwogi-Unaksojaneda-Anigina.lyx
# ① ② ③ ④ ⑤ ⑥ ⑦ ⑧ ⑨ ⑩ ⑪ ⑫ ⑬ ⑭ ⑮ ⑯ ⑰ ⑱ ⑲ ⑳ ㉑ ㉒ ㉓ ㉔ ㉕ ㉖ ㉗ ㉘ ㉙ ㉚ ㉛ ㉜ ㉝ ㉞ ㉟ ㊱ ㊲ ㊳ ㊴ ㊵ ㊶ ㊷ ㊸ ㊹ ㊺ ㊻ ㊼ ㊽ ㊾ ㊿
Syllabary|Pronounce|Breakdown|Definition
ᏂᏥᎬᏨᎾ||Ꮒ- ᎢᏥ- ᎤᎬᏨᎢ -ᎥᎾ|You all are without need.
ᏃᎦᏛᏁᎸᎩ|||They and I did.
ᏃᏊ|||Now.
ᏄᎳ|① nű:la ② nǔ:la||① Hurry. ② Come here.
ᏄᏍᎦᎸᎾ||Ꮒ- ᎤᏍᎦᎸᎢ -ᎥᎾ|He or she is without fear.
ᏄᏍᏗ|nű:sdi||His, her, or its way.
ᏄᏒᏅᎾ||Ꮒ- ᎤᏒᏅᎢ -ᎥᎾ|He or she is without being devoured.
ᏄᏩᎾᏕᎪ|||He or she always treats him, her or it…
ᏅᎩ|||Four.
ᏅᏯ|||A rock. Rocks.
ᏌᏊ|||One.
ᏌᏊᏊ||ᏌᏊ -Ꮚ|Just the one.
ᏍᎩᏍᎦᎭ|||You are afraid of me.
ᏍᎩᏍᎦᎭᏍ|||Are you afraid of me?
ᏍᎩᏍᏕᎳ|||Let you help me.
ᏍᏊ|||Also.
ᏍᏚᏗ|||A door or gate.
Ꮟ|||① Yet. ② Still.
ᏏᏊ|||Again.
ᏏᏊᏍ|||Is it again?
ᏐᎢ|||Another.
ᏑᏓᎵ|||Six.
ᏓᎦᎵᏍᏓᏴᏂ|||I will eat a meal.
ᏓᎦᏓᏅᏖᏟ|||I will think it.
ᏓᎦᏤᎸᏂ|||I will act like him or her.
ᏓᎦᏥᎩᏏ|||I will get them.
ᏓᎦᏥᎷᏥᏏᎴᎵ||Ꮣ- ᎦᏥ- ᎤᎷᏨᎢ -ᎢᏏᎸᎢ -ᎡᎸᎢ|I will come again for them.
ᏓᎨᏅᏏ|||I will go.
ᏓᎩᎧᎯᏐᏗ||Ꮥ- ᎠᎩ- ᎤᏪᎧᎲᎢ -ᎢᏐᏗ|For me to have them again.
ᏓᎩᏏ|||① A terrapin turtle. ② A padlock. ③ A door knob.
ᏓᎩᏙᎥ|||My name.
ᏓᎬᎩᏟ|||They will kill me.
ᏓᎬᎪᎯᏏᎵ||Ꮣ- Ꭼ- ᎤᎪᎲᎢ -ᎢᏏᎸᎢ|I will see you again.
ᏓᎬᏯᏄᎩᏨᏂ|||I will hug you.
ᏓᏣᏅᏘ|||You will know.
ᏓᏣᏅᏘᏍᎪ|||Will you all know?
ᏓᏥᎦᏘᏗ|||I will wait for him or her.
ᏓᏥᎩᏒᏏ||Ꮣ- Ꮵ- ᎤᎩᏒᎢ -ᎥᏒᎢ|I will go and get it.
ᏓᏥᎷᏥ|||I will arrive.
ᏓᏥᏁᎴᎵ||Ꮣ- Ꮵ- ᎤᏁᎸᎢ -ᎡᎸᎢ|I will give it to him or her.
ᏓᏥᏂᏴᎯ|||I will catch him or her.
ᏓᏥᏒᏂ|||I will devour him, her, or it.
ᏓᏥᏒᏂᎵ|||He or she will devour you all.
ᏓᏨᏯᎵᏍᏕᎸᎯ|||They and I will help you.
ᏓᏲᎦᏅᏘ|||They and I will know it.
ᏓᏲᏣᏛᏓᏍᏔᏂ|||The and I will listen to it.
