# Na-Usdi-Agigage-Jitaga-Agisi.lyx
# ① ② ③ ④ ⑤ ⑥ ⑦ ⑧ ⑨ ⑩ ⑪ ⑫ ⑬ ⑭ ⑮ ⑯ ⑰ ⑱ ⑲ ⑳ ㉑ ㉒ ㉓ ㉔ ㉕ ㉖ ㉗ ㉘ ㉙ ㉚ ㉛ ㉜ ㉝ ㉞ ㉟ ㊱ ㊲ ㊳ ㊴ ㊵ ㊶ ㊷ ㊸ ㊹ ㊺ ㊻ ㊼ ㊽ ㊾ ㊿
Syllabary|Pronounce|Breakdown|Definition
ᎬᏩᏟᏐᏗ||ᎬᏩ- ᎤᏟᏐᏗ|He or she is able to gather it.
ᎬᏩᏢᏅᏗ||ᎬᏩ- ᎤᏢᏅᏗ|He or she is able to sleep.
ᎬᏩᏫᏍᏗ||ᎬᏩ- ᎤᏫᏍᏗ|He or she is able to plant it.
ᎭᏢ|||Where?
ᎯᎠ|||① This. These. ② He. She. It.
ᎯᎠᏍ|||Is this?
ᎯᎪᏩᏔ|||Let you see.
ᎯᎪᏩᏘᎭ|||You see him, her, or it.
ᎯᎪᏩᏘᎭᏍ|||Do you see him, her, or it?
ᎯᎾᎵ|||You are lazy.
ᎯᎾᎵᏍ|||Are you lazy?
ᎯᏥᏔᎦᏍ|||Are you a chicken?
ᎯᏩᏔ|① hihwatā ② hihwata ③ hì:watā ④ hì:wata||① You just found it. ② Let you find it. ③ You just found him or her. ④ Let you find him or her.
ᎰᏍᏓ|||You are good.
ᎹᎦᎵ|||Michael
Ꮎ|||The. That.
ᎾᎯᏳ|||Then.
ᎾᏍ|||Is it that?
Ꮒ|||Look!
Ꮒ- -ᎥᎾ|||Without.
ᏂᎦᏓ|||All. Everyone.
ᏂᎦᏓᏍ|||Is it all?
ᏂᎦᏛᏁᎭ|||I am doing it.
ᏂᎬᏫᏍᏗ|||Is the look of it. Is the appearance of it.
ᏂᎯ|||You.
ᏂᎯᎾ|||What of you?
ᏂᏓᎦᎵᏍᏔᏂ|||① He, she, or it will become. ② It will happen.
ᏂᏓᎦᏛᏁᎵ|||I will do it.
ᏂᏣᏛᏁᎸᎩ|||You did it.
ᏃᏊ|||Now.
ᏄᎩᏒᎾ|||He or she is without getting it.
ᏄᎵᏍᏔᏁ|||① It became. ② It happened.
ᏄᎵᏍᏔᏅᎩ|||① He, she, or it became. ② It happened.
ᏄᏛᏁᎴ|||He or she did it.
ᏌᏊ|||One.
ᏍᎩᏍᏕᎵᎭᏍ|||Are you helping me?
ᏍᏊ|||Also.
ᏍᏓᎵᎢ|||① You two are friends. ② Your friend.
ᏍᏙᏍᏓ|||You two are good.
ᏏᏆ|||A pig. Pigs.
ᏏᏆᏍ|||Is it the pig?
ᏓᎦᎵᏍᏕᎸᎯ|||I will help.
ᏓᎦᎾᏏᏅᏏ|||He or whe will drag it.
ᏓᎦᏃᏍᎩᏏ|||He or she will steal it.
ᏓᎦᏚᏂ|||He or she will bake it.
ᏓᎦᏛᏁᎵ|||I will do it.
ᏓᎬᏍᏕᎸᎯ|||I will help you.
ᏓᏍᎩᏍᏕᎸᎯᏍ|||Will you help me?
ᏓᏗᏚᏂ|||All of us will bake it.
ᏓᏤᎾ|||You all, come towards me.
ᏓᏥᎩ|① dajigi ② dà:jigi||① I will eat it. ② You all will eat it.
ᏓᏥᏫᏏ|||I will plant it.
ᏓᏥᏫᏛᎯ|||I will take it.
ᏓᏳᎯ|||He or she will have it.
ᏔᏛᏁᎵ|||You will do it.
ᏕᎦᎵᏗ|||A sack.
ᏕᎦᎵᏗᏍ|||Is it a sack?
ᏖᎾ|||Let you go towards me.
ᏗᎦᏬᏂᎯᏍᏗ|||Language.
ᏗᎩᏟᏐᏗ|||For me to gather them.
ᏗᎬᏩᏂᏩᏛᏗ|||They are able to find them.
ᏗᏍᏙᏍᎩ|||① One who crushes. ② One who operates a mill.
ᏗᏍᏙᏍᎩᎢ|||① A crusher. ② A mill.
ᏗᏍᏙᏍᎩᎢᏍ|||Is it the mill?
ᏘᎩᏒᏏ|||You will go and get it.
ᏘᎩᏒᏏᏍᎪ|||Will you go and get it?
ᏘᏫᏛᎯ|||You will take it somewhere.
ᏙᎯᏳ|||Really. Very.
ᏙᎯᏳᏍ|||Truly?
ᏙᏓᎦᏟᏌᏂ|||I will gather them.
ᏚᎮᏍᏗ|||He or she will be having them.
ᏛᎩᎸᏂ|||He or she will get on or in it.
ᏛᎩᏍ|||Will he or she eat it?
ᏛᎩᏍᏕᎸᎯ|||He or she will help me.
ᏛᎩᏒᏏ||Ꮣ- ᎤᎩᏒᎢ -ᎥᏒᎢ|He or she will go and get it.
ᏛᎩᏒᏏᏍᎪ||Ꮣ- ᎤᎩᏒᎢ -ᎥᏒᎢ -ᏍᎪ|Will he or she go and get it?
ᏛᎾᎩᎸᏂ|||They will get on or in it.
ᏛᏂᏃᏍᎩᏏ|||They will steal it.
ᏛᏅᏂᏏ|||① They will ripen. ② They will become cooked.
ᏛᏍᏙᎢ|||He or she will be grinding.
ᏛᏍᏚᎢᏏ|||He or she will open it.
ᏛᏛᏁᎵ|||He or she will do it.
ᏛᏛᏏ|||It will grow.
ᏛᏫᏏ|||He or she will plant it.
ᏛᏫᏛᎯ|||He or she will take it somewhere.
Ꮭ|||No. Not.
Ꮭ ᎢᎸᎯᏳ|||Ever.
Ꮭ ᏯᏫᏗᎭ|||He or she isn't taking it somewhere.
Ꮭ ᏰᏅᏒᎭ||Ᏹ- Ꭰ- ᎤᏪᏅᏒᎢ -ᎥᎭ|He or she should not or would not go.
